molecule_chembl_id,smiles,pchembl_value,qed,sascore,mw,logp,hbd,hba,heavy_atoms,lipinski_pass,valid,max_tanimoto_to_known_drug,closest_known_drug
CHEMBL69629,Cc1cc(C(=O)NCCN2CCOCC2)[nH]c1/C=C1\C(=O)Nc2ncnc(Nc3ccc(F)c(Cl)c3)c21,8.19,0.34910951558339387,3.0343179896124397,525.9720000000001,3.203920000000001,4,7,37,3,True,0.4166666666666667,Gefitinib
CHEMBL136492,CN(c1ccccc1)c1ncnc2ccc(N)cc12,5.08,0.7103069408166413,2.1602629295385043,250.30499999999998,2.9799000000000007,1,4,19,4,True,0.208955223880597,Erlotinib
CHEMBL66570,CCN1CCN(C(=O)c2cc(C)c(/C=C3\C(=O)Nc4ncnc(Nc5ccc(F)c(Cl)c5)c43)[nH]2)CC1,7.89,0.450093590840146,2.99138833118276,509.97300000000024,3.919620000000001,3,6,36,3,True,0.3333333333333333,Gefitinib
CHEMBL311119,N#CC(C#N)=Cc1ccc(C=O)cc1,4.22,0.5180957849447793,2.5132865028519014,182.182,1.9296599999999997,0,3,14,4,True,0.06896551724137931,Osimertinib
CHEMBL76905,N#CC(C#N)=Cc1cc(O)cc(O)c1,4.43,0.6506579026520011,2.7980235006718956,186.17,1.52836,2,4,14,4,True,0.07936507936507936,Erlotinib
CHEMBL305194,Cc1cc(C(=O)O)[nH]c1/C=C1\C(=O)Nc2ncnc(Nc3ccc(F)c(Cl)c3)c21,7.54,0.48222412954816424,2.9438785967349013,413.7960000000001,3.8401200000000006,4,5,29,4,True,0.30434782608695654,Gefitinib
CHEMBL80155,COc1cc(C=C(C#N)C#N)cc(O)c1O,5.22,0.576774839125465,2.665562786618457,216.196,1.53696,2,5,16,4,True,0.12658227848101267,Gefitinib
CHEMBL343352,Nc1ccc2ncnc(Nc3cccc(Cl)c3)c2c1,6.70,0.6984163247449635,1.9737502022657765,270.72300000000007,3.609000000000001,2,4,19,4,True,0.38333333333333336,Erlotinib
CHEMBL52765,Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,7.36,0.7075582965166849,2.040987125342699,315.17400000000004,3.7181000000000015,2,4,19,4,True,0.38333333333333336,Erlotinib
CHEMBL76642,N#C/C(=C/c1cc(O)ccc1O)C(=O)O,4.12,0.38076322332403434,2.447376195726994,205.16899999999998,1.0893799999999998,3,4,15,4,True,0.09473684210526316,Afatinib
CHEMBL308645,Cc1cc(CCC(=O)O)[nH]c1/C=C1\C(=O)Nc2ncnc(Nc3ccc(F)c(Cl)c3)c21,8.33,0.4262276916908714,2.989255958244309,441.8500000000001,4.1591200000000015,4,5,31,4,True,0.3020833333333333,Gefitinib
CHEMBL67003,Cc1cc(C(=O)N2CCOCC2)[nH]c1/C=C1\C(=O)Nc2ncnc(Nc3ccc4c(cnn4Cc4ccccc4)c3)c21,8.74,0.265233946304514,3.1094987954341633,560.6180000000002,4.219820000000002,3,7,42,3,True,0.25,Gefitinib
CHEMBL134312,CN(C)/N=N/c1ccc2ncnc(Nc3cccc(Br)c3)c2c1,7.96,0.5335207770252037,2.56433417856824,371.242,4.696200000000003,1,5,23,4,True,0.373134328358209,Erlotinib
CHEMBL77243,CCCCc1cc(/C=C(\C#N)C(N)=O)cc(CCCC)c1O,4.26,0.5689472772456861,2.530008741802142,300.402,3.4696800000000017,2,3,22,4,True,0.11,Afatinib
CHEMBL80745,COc1cc(/C=C(\C#N)C(N)=C(C#N)C#N)cc(O)c1O,5.92,0.4292326375772375,2.9894125764761252,282.259,1.27334,3,7,21,4,True,0.11627906976744186,Gefitinib
CHEMBL305246,Cc1cc(C(=O)N2CCN(C)CC2)[nH]c1/C=C1\C(=O)Nc2ncnc(Nc3ccc(F)c(Cl)c3)c21,8.55,0.47806153545957225,2.9884091676844324,495.9460000000001,3.5295200000000007,3,6,35,4,True,0.31958762886597936,Gefitinib
CHEMBL69966,C#Cc1cccc(Nc2ncnc3c2/C(=C/c2[nH]c(C(=O)NCCN4CCOCC4)cc2C)C(=O)N3)c1,7.75,0.2918843942311729,3.147559849005031,497.5590000000004,2.3927199999999997,4,7,37,4,True,0.3191489361702128,Erlotinib
CHEMBL47940,Nc1ncnc2c1c(-c1ccc(Oc3ccccc3)cc1)cn2C1CCCC1,5.50,0.5085487041896478,2.219012363939772,370.4560000000002,5.587900000000003,1,4,28,3,True,0.10843373493975904,Erlotinib
CHEMBL69358,CCN(CC)CCNC(=O)c1cc(C)c(/C=C2\C(=O)Nc3ncnc(Nc4ccc(F)c(Cl)c4)c32)[nH]1,8.92,0.31981234768945394,3.052830376790035,511.9890000000001,4.213520000000002,4,6,36,3,True,0.2920353982300885,Afatinib
CHEMBL137189,C/N=N/Nc1ccc2ncnc(Nc3cccc(C)c3)c2c1,6.70,0.560730624748014,2.4556308091098344,292.34600000000006,4.090720000000002,2,5,22,4,True,0.36923076923076925,Erlotinib
CHEMBL137617,C/N=N/Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,7.41,0.5308542199838134,2.530538501417526,357.2150000000001,4.544800000000002,2,5,22,4,True,0.36363636363636365,Erlotinib
